ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
INFRACK15,INFRACK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RIN310009,ACTIVA
INFRACK17,INFRACK17.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RIN310025,ACTIVA
INMOBCK18,INMOBCK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RIN390001,ACTIVA
INVEXA,INVEXA.MX,SI,98.0,"INVEX CONTROLADORA, S.A.B. DE C.V.",BMV,Acción,MX01IN4J0002,ACTIVA
KANANPI22-B2,KANANPI22-B2.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RKA000031,ACTIVA
KANANPI22-B,KANANPI22-B.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RKA000023,ACTIVA
KANANPI22-A2,KANANPI22-A2.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RKA000015,ACTIVA
KANANPI22-A,KANANPI22-A.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RKA000007,ACTIVA
KIMBERA,KIMBERA.MX,SI,43.19,KIMBERLY - CLARK DE MEXICO S.A.B. DE C.V.,BMV,Acción,MXP606941179,ACTIVA
KIMBERB,KIMBERB.MX,SI,36.89,KIMBERLY - CLARK DE MEXICO S.A.B. DE C.V.,BMV,Acción,MXP606941096,ACTIVA
KKRPI18-2D,KKRPI18-2D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RKK010020,ACTIVA
KKRPI18D,KKRPI18D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RKK010038,ACTIVA
KKRPI24D,KKRPI24D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
KOFUBL,KOFUBL.MX,SI,191.51,"COCA-COLA FEMSA, S.A.B. DE C.V.",BMV,Acción,MX01KO000002,ACTIVA
KUOB,KUOB.MX,SI,60.0,"GRUPO KUO, S.A.B. DE C.V.",BMV,Acción,MX01KU000012,ACTIVA
KUOA,KUOA.MX,SI,62.3,"GRUPO KUO, S.A.B. DE C.V.",BMV,Acción,MX01KU000004,ACTIVA
LABB,LABB.MX,SI,18.28,"GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V.",BMV,Acción,MX01LA010006,ACTIVA
LACOMERUBC,LACOMERUBC.MX,SI,38.96,LA COMER S.A.B. DE C.V.,BMV,Acción,MX01LA050010,ACTIVA
LAMOSA*,LAMOSA.MX,SI,100.0,"GRUPO LAMOSA, S.A.B. DE C.V.",BMV,Acción,MX01LA000007,ACTIVA
LASEG*,LASEG.MX,NO,,"LA LATINOAMERICANA SEGUROS, S.A.",BMV,Acción,MXP6171Q1053,ACTIVA
LASITE*,LASITE.MX,SI,5.74,"SITIOS LATINOAMÉRICA, S.A.B. DE C.V.",BMV,Acción,MX01LA080025,ACTIVA
LATINCK12,LATINCK12.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A., INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BIVA,Acción,MX1RLA030003,ACTIVA
LEX3PI19,LEX3PI19.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RLE040008,ACTIVA
LEXPI18D,LEXPI18D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RLE030009,ACTIVA
LEXPI22-2D,LEXPI22-2D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LEXPI22D,LEXPI22D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LIVCK18,LIVCK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RLI0A0010,ACTIVA
LIVCK15,LIVCK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RLI0A0002,ACTIVA
LIVEPOL1,LIVEPOL1.MX,SI,107.9,"EL PUERTO DE LIVERPOOL, S.A.B. DE C.V.",BMV,Acción,MXP369181112,ACTIVA
LIVEPOLC-1,LIVEPOLC-1.MX,SI,107.68,"EL PUERTO DE LIVERPOOL, S.A.B. DE C.V.",BMV,Acción,MXP369181377,ACTIVA
